,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Hou Yifan,'China',2650,2621,2601
1,#2,GM,Ju Wenjun,'China',2560,2610,2536
2,#3,GM,Alexandra Kosteniuk,Russia,2521,2542,2469
3,#4,GM,Kateryna Lagno,Russia,2547,2531,2522
4,#5,GM,Lei Tingjie,'China',2535,2527,2530
5,#6,GM,Tan Zhongyi,'China',2525,2513,2510
6,#7,GM,Mariya Muzychuk,'Ukraine',2540,2477,2328
7,#8,GM,Harika Dronavalli,'India',2517,2475,2382
8,#9,GM,Aleksandra Goryachkina,Russia,2599,2473,2426
9,#10,GM,Humpy Koneru,'India',2586,2467,2472
10,#11,WGM,Natalia Pogonina,Russia,2457,2466,2313
11,#12,WGM,Huang Qian,'China',2433,2464,2311
12,#13,GM,Nana Dzagnidze,'Georgia',2531,2463,2374
13,#14,GM,Anna Muzychuk,'Ukraine',2529,2458,2460
14,#15,GM,Zhansaya Abdumalik,'Kazakhstan',2495,2448,2413
15,#16,IM,Guo Qi,'China',2406,2446,2338
16,#17,GM,Zhao Xue,'China',2486,2442,2407
17,#18,IM,Dinara Saduakassova,'Kazakhstan',2435,2434,2404
18,#19,GM,Maia Chiburdanidze,'Georgia',2500,2432,2437
19,#20,WGM,Wang Jue,'China',2426,2421,2378
20,#21,GM,Valentina Gunina,Russia,2469,2421,2386
21,#22,IM,Sarasadat Khademalsharieh,'Iran',2490,2411,2431
22,#23,IM,Olga Alexandrova,'Spain',2420,2406,2408
23,#24,GM,Bela Khotenashvili,'Georgia',2485,2405,2320
24,#25,IM,Nazi Paikidze,'United States',2354,2402,2314
25,#26,GM,Antoaneta Stefanova,'Bulgaria',2467,2399,2426
26,#27,GM,Pia Cramling,'Sweden',2459,2396,2320
27,#28,IM,Bibisara Assaubayeva,'Kazakhstan',2436,2396,2404
28,#29,GM,Viktorija Cmilyte,'Lithuania',2538,2394,2435
29,#30,IM,Carissa Yip,'United States',2416,2393,1708
30,#31,GM,Irina Krush,'United States',2430,2392,2360
31,#32,GM,Marie Sebag,'France',2447,2387,2440
32,#33,IM,Ekaterina Atalik,'Turkey',2422,2385,2180
33,#34,IM,Shen Yang,'China',2401,2383,2331
34,#35,IM,Gulnar Mammadova,'Azerbaijan',2380,2383,2255
35,#36,IM,Iweta Rajlich,'Poland',2379,2381,0
36,#37,WGM,Ni Shiqun,'China',2371,2377,2186
37,#38,WGM,Tatev Abrahamyan,'United States',2291,2373,2347
38,#39,GM,Anna Ushenina,'Ukraine',2423,2371,2395
39,#40,IM,Le Thao Nguyen Pham,'Vietnam',2369,2371,2282
40,#41,IM,Alisa Galliamova,Russia,2421,2370,2390
41,#42,IM,Elisabeth Paehtz,'Germany',2484,2367,2390
42,#43,IM,Irine Kharisma Sukandar,'Indonesia',2373,2367,2284
43,#44,WGM,Betul Cemre Yildiz Kadioglu,'Turkey',2368,2365,2253
44,#45,IM,Batkhuyag Munguntuul,'Mongolia',2408,2364,2391
45,#46,IM,Li Ruofan,'China',2302,2363,2263
46,#47,IM,Eva Repkova,'Slovakia',2303,2358,2285
47,#48,IM,Meri Arabidze,'Georgia',2426,2356,2335
48,#49,IM,Ana Matnadze,'Spain',2406,2355,2434
49,#50,IM,Medina Warda Aulia,'Indonesia',2374,2353,2173
