,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Hou Yifan,'China',2650,2621,2601
1,#2,GM,Aleksandra Goryachkina,Russia,2599,2473,2426
2,#3,GM,Humpy Koneru,'India',2586,2467,2472
3,#4,GM,Ju Wenjun,'China',2560,2610,2536
4,#5,GM,Kateryna Lagno,Russia,2547,2531,2522
5,#6,GM,Mariya Muzychuk,'Ukraine',2540,2477,2328
6,#7,GM,Viktorija Cmilyte,'Lithuania',2538,2394,2435
7,#8,GM,Lei Tingjie,'China',2535,2527,2530
8,#9,GM,Nana Dzagnidze,'Georgia',2531,2463,2374
9,#10,GM,Anna Muzychuk,'Ukraine',2529,2458,2460
10,#11,GM,Tan Zhongyi,'China',2525,2513,2510
11,#12,GM,Alexandra Kosteniuk,Russia,2521,2542,2469
12,#13,GM,Harika Dronavalli,'India',2517,2475,2382
13,#14,IM,Alina Kashlinskaya,'Poland',2505,2288,2330
14,#15,GM,Maia Chiburdanidze,'Georgia',2500,2432,2437
15,#16,IM,Polina Shuvalova,Russia,2498,2351,2330
16,#17,GM,Zhansaya Abdumalik,'Kazakhstan',2495,2448,2413
17,#18,IM,Sarasadat Khademalsharieh,'Iran',2490,2411,2431
18,#19,GM,Zhao Xue,'China',2486,2442,2407
19,#20,GM,Bela Khotenashvili,'Georgia',2485,2405,2320
20,#21,IM,Elisabeth Paehtz,'Germany',2484,2367,2390
21,#22,IM,Lela Javakhishvili,'Georgia',2476,2346,2324
22,#23,GM,Valentina Gunina,Russia,2469,2421,2386
23,#24,GM,Antoaneta Stefanova,'Bulgaria',2467,2399,2426
24,#25,GM,Nino Batsiashvili,'Georgia',2466,2345,2149
25,#26,WGM,Zhu Jin'er,'China',2464,2326,2281
26,#27,GM,Pia Cramling,'Sweden',2459,2396,2320
27,#28,WGM,Natalia Pogonina,Russia,2457,2466,2313
28,#29,IM,Marsel Efroimski,'Israel',2456,2196,2132
29,#30,IM,Gunay Mammadzada,'Azerbaijan',2455,2277,2242
30,#31,IM,Olga Badelka,Russia,2449,2217,2165
31,#32,GM,Marie Sebag,'France',2447,2387,2440
32,#33,IM,Vaishali R,'India',2442,2273,2343
33,#34,GM,Elina Danielian,'Armenia',2441,2330,2218
34,#35,IM,Bibisara Assaubayeva,'Kazakhstan',2436,2396,2404
35,#36,IM,Dinara Saduakassova,'Kazakhstan',2435,2434,2404
36,#37,WGM,Huang Qian,'China',2433,2464,2311
37,#38,GM,Irina Krush,'United States',2430,2392,2360
38,#39,WGM,Wang Jue,'China',2426,2421,2378
39,#40,IM,Meri Arabidze,'Georgia',2426,2356,2335
40,#41,GM,Anna Ushenina,'Ukraine',2423,2371,2395
41,#42,IM,Ekaterina Atalik,'Turkey',2422,2385,2180
42,#43,WGM,Ding Yixin,'China',2422,2349,2313
43,#44,IM,Alisa Galliamova,Russia,2421,2370,2390
44,#45,IM,Olga Alexandrova,'Spain',2420,2406,2408
45,#46,IM,Iulija Osmak,'Ukraine',2420,2260,2303
46,#47,WGM,Jolanta Zawadzka,'Poland',2416,2166,2140
47,#48,GM,Monika Socko,'Poland',2416,2239,2286
48,#49,IM,Nurgyul Salimova,'Bulgaria',2416,2181,2184
49,#50,IM,Carissa Yip,'United States',2416,2393,1708
